"产物中文名","产物ID","内容类型","分类证据","分类置信度","是否可食用","饥饿值","饱和度","效果","有效配方数","无效/JAR候选配方数","有效配方ID列表","未加载配方ID列表","序列化类型列表","来源模组","建议厨师档次","建议依据","T3证据","冲突说明","人工复审备注"
"Salt Yolk","bakeries:salt_yolk","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:salt_yolk","","minecraft:crafting_shapeless","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Salted Dough","bakeries:salted_dough","INGREDIENT","ingredient_token=salted_dough","HIGH","否","","","","3","0","bakeries:blender/salted_dough | bakeries:compat/create/salted_dough | bakeries:integration/create/mixing/salted_dough","","bakeries:blender | create:mixing","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Salted Dough Fermentation","bakeries:salted_dough_fermentation","INGREDIENT","ingredient_token=salted_dough_fermentation","HIGH","否","","","","1","0","bakeries:fermentation_box/salted_dough_fermentation","","bakeries:fermentation_box","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Sliced Cheese Cocoa Toast","bakeries:sliced_cheese_cocoa_toast","DISH","dish_token;edible=true;type=bakeries:bread_knife","HIGH","是","4","6.4","effect.bakeries.cocoa_mania 600tick 1级 概率1；effect.bakeries.cheese_power 600tick 1级 概率1","1","0","bakeries:bread_knife/sliced_cheese_cocoa_toast","","bakeries:bread_knife","Bakeries","T2","正餐/甜点名称","","",""
"Sliced Toast","bakeries:sliced_toast","DISH","dish_token;edible=true;type=bakeries:bread_knife","HIGH","是","4","3.2","","1","0","bakeries:bread_knife/sliced_toast","","bakeries:bread_knife","Bakeries","T2","正餐/甜点名称","","",""
"Sofa Light Gray","bakeries:sofa_light_gray","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:sofa_light_gray","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Sofa Red","bakeries:sofa_red","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:sofa_red","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Sofa White","bakeries:sofa_white","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:sofa_white","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Sweet Dough","bakeries:sweet_dough","INGREDIENT","ingredient_token=sweet_dough","HIGH","否","","","","3","0","bakeries:blender/sweet_dough | bakeries:compat/create/sweet_dough | bakeries:integration/create/mixing/sweet_dough","","bakeries:blender | create:mixing","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Sweet Dough Fermentation","bakeries:sweet_dough_fermentation","INGREDIENT","ingredient_token=sweet_dough_fermentation","HIGH","否","","","","1","0","bakeries:fermentation_box/sweet_dough_fermentation","","bakeries:fermentation_box","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Taro Milk","bakeries:taro_milk","DRINK","recipe_type=bakeries:drink","HIGH","是","9","9","effect.minecraft.speed 600tick 1级 概率1；effect.minecraft.haste 600tick 1级 概率1","1","0","bakeries:drink/taro_milk","","bakeries:drink","Bakeries","不进入厨师","内容类型=DRINK","","",""
"Taro Salt Yolk Bread","bakeries:taro_salt_yolk_bread","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","10","20","effect.bakeries.enjoy 1800tick 1级 概率1","1","0","bakeries:taro_salt_yolk_bread","","minecraft:crafting_shapeless","Bakeries","T2","正餐/甜点名称","","",""
"Toaster","bakeries:toaster","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:toaster","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Tomato Cheese Croissant Sandwich","bakeries:tomato_cheese_croissant_sandwich","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","10","18","effect.bakeries.enjoy 6000tick 3级 概率1","1","0","bakeries:tomato_cheese_croissant_sandwich","","minecraft:crafting_shapeless","Bakeries","T2","正餐/甜点名称","","",""
"Whole Egg","bakeries:whole_egg","INGREDIENT","ingredient_process=bakeries:bread_knife","MEDIUM","否","","","","1","0","bakeries:bread_knife/whole_egg","","bakeries:bread_knife","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Whole Wheat Bagel","bakeries:whole_wheat_bagel","DISH","dish_token;edible=true;type=bakeries:oven","HIGH","是","8","5.6","effect.minecraft.saturation 20tick 1级 概率1","1","0","bakeries:oven/whole_wheat_bagel","","bakeries:oven","Bakeries","T2","正餐/甜点名称","","",""
"Whole Wheat Bagel Dough","bakeries:whole_wheat_bagel_dough","INGREDIENT","ingredient_token=whole_wheat_bagel_dough","HIGH","否","","","","2","1","bakeries:compat/create/whole_wheat_bagel_dough | bakeries:dough_crafting_table/whole_wheat_bagel_dough__fermentation_gameplay","bakeries:dough_crafting_table/whole_wheat_bagel_dough","create:cutting | bakeries:dough_crafting_table","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Whole Wheat Dough","bakeries:whole_wheat_dough","INGREDIENT","ingredient_token=whole_wheat_dough","HIGH","否","","","","3","0","bakeries:blender/whole_wheat_dough | bakeries:compat/create/whole_wheat_dough | bakeries:integration/create/mixing/whole_wheat_dough","","bakeries:blender | create:mixing","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Whole Wheat Dough Fermentation","bakeries:whole_wheat_dough_fermentation","INGREDIENT","ingredient_token=whole_wheat_dough_fermentation","HIGH","否","","","","1","0","bakeries:fermentation_box/whole_wheat_dough_fermentation","","bakeries:fermentation_box","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Whole Wheat Flour","bakeries:whole_wheat_flour","INGREDIENT","ingredient_token=whole_wheat_flour","HIGH","否","","","","2","0","bakeries:whole_wheat_flour | bakeries:whole_wheat_flour_of_whole_wheat_flour_bag","","minecraft:crafting_shaped | minecraft:crafting_shapeless","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Whole Wheat Flour Bag","bakeries:whole_wheat_flour_bag","INGREDIENT","ingredient_token=whole_wheat_flour_bag","HIGH","否","","","","1","0","bakeries:whole_wheat_flour_bag","","minecraft:crafting_shapeless","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Wood Counter","bakeries:wood_counter","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:wood_counter","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Wood Tray","bakeries:wood_tray","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:wood_tray","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Apple Jelly","brewinandchewin:apple_jelly","DISH","cooking_device=farmersdelight:cooking;food_component","HIGH","是","10","12","","1","0","brewinandchewin:cooking/apple_jelly","","farmersdelight:cooking","Brewin' and Chewin'","T2","设备或复杂度：type=farmersdelight:cooking;kinds=3","","",""
"Beer","brewinandchewin:beer","DRINK","recipe_type=brewinandchewin:fermenting","HIGH","是","0","0","effect.brewinandchewin.tipsy 2400tick 1级 概率1；effect.brewinandchewin.intoxication 1800tick 1级 概率1","2","0","brewinandchewin:fermenting/beer_from_water | brewinandchewin:pouring/beer","","brewinandchewin:fermenting | brewinandchewin:keg_pouring","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Bloody Mary","brewinandchewin:bloody_mary","DRINK","recipe_type=brewinandchewin:fermenting","HIGH","是","0","0","effect.brewinandchewin.tipsy 2400tick 2级 概率1；effect.brewinandchewin.intoxication 1800tick 1级 概率1；effect.brewinandchewin.raging 1200tick 1级 概率1","2","0","brewinandchewin:fermenting/bloody_mary_from_vodka | brewinandchewin:pouring/bloody_mary","","brewinandchewin:fermenting | brewinandchewin:keg_pouring","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Pasta with Cheese","brewinandchewin:cheesy_pasta","DISH","dish_token;edible=true;type=farmersdelight:cooking","HIGH","是","14","21","effect.farmersdelight.nourishment 6000tick 1级 概率1","1","0","brewinandchewin:cooking/cheesy_pasta","","farmersdelight:cooking","Brewin' and Chewin'","T2","正餐/甜点名称","","",""
"Coaster","brewinandchewin:coaster","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","brewinandchewin:item_coaster","","minecraft:crafting_shaped","Brewin' and Chewin'","不进入厨师","内容类型=NON_FOOD","","",""
"Cocoa Fudge","brewinandchewin:cocoa_fudge","DRINK","recipe_type=brewinandchewin:fermenting","HIGH","是","4","6.4","effect.minecraft.speed 800tick 1级 概率1","1","0","brewinandchewin:fermenting/cocoa_fudge_from_milk","","brewinandchewin:fermenting","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Creamy Onion Soup","brewinandchewin:creamy_onion_soup","DISH","explicit_dish_allowlist","HIGH","是","12","19.2","effect.farmersdelight.nourishment 3600tick 1级 概率1","1","0","brewinandchewin:cooking/creamy_onion_soup","","farmersdelight:cooking","Brewin' and Chewin'","T2","正餐/甜点名称","","",""
"Dread Nog","brewinandchewin:dread_nog","DRINK","recipe_type=brewinandchewin:fermenting","HIGH","是","0","0","effect.brewinandchewin.tipsy 4800tick 3级 概率1；effect.brewinandchewin.intoxication 4200tick 1级 概率1；effect.minecraft.bad_omen 72000tick 1级 概率1","2","0","brewinandchewin:fermenting/dread_nog_from_egg_grog | brewinandchewin:pouring/dread_nog","","brewinandchewin:fermenting | brewinandchewin:keg_pouring","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Egg Grog","brewinandchewin:egg_grog","DRINK","recipe_type=brewinandchewin:fermenting","HIGH","是","0","0","effect.brewinandchewin.tipsy 2400tick 1级 概率1；effect.brewinandchewin.intoxication 1800tick 1级 概率1；effect.minecraft.absorption 600tick 1级 概率1","2","0","brewinandchewin:fermenting/egg_grog_from_milk | brewinandchewin:pouring/egg_grog","","brewinandchewin:fermenting | brewinandchewin:keg_pouring","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Pot of Fiery Fondue","brewinandchewin:fiery_fondue_pot","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","brewinandchewin:cooking/fiery_fondue_pot","","farmersdelight:cooking","Brewin' and Chewin'","不进入厨师","内容类型=NON_FOOD","","",""
"Flaxen Cheese Wedge","brewinandchewin:flaxen_cheese_wedge","INGREDIENT","manual_override;奶酪楔切割产物","HIGH","是","4","8","","1","0","brewinandchewin:cutting/flaxen_cheese_wheel","","farmersdelight:cutting","Brewin' and Chewin'","不进入厨师","奶酪楔切割产物","","","保持INGREDIENT"
"Flaxen Cheese Wheel","brewinandchewin:flaxen_cheese_wheel","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","brewinandchewin:flaxen_cheese_wheel_from_wedges","","minecraft:crafting_shaped","Brewin' and Chewin'","不进入厨师","内容类型=NON_FOOD","","",""
"Glittering Grenadine","brewinandchewin:glittering_grenadine","DRINK","recipe_type=brewinandchewin:fermenting","HIGH","是","0","0","effect.brewinandchewin.tipsy 2400tick 1级 概率1；effect.brewinandchewin.intoxication 1800tick 1级 概率1；effect.minecraft.glowing 600tick 1级 概率1；effect.minecraft.night_vision 600tick 1级 概率1","2","0","brewinandchewin:fermenting/glittering_grenadine_from_water | brewinandchewin:pouring/glittering_grenadine","","brewinandchewin:fermenting | brewinandchewin:keg_pouring","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Glow Berry Marmalade","brewinandchewin:glow_berry_marmalade","DISH","cooking_device=farmersdelight:cooking;food_component","HIGH","是","6","4.8","","1","0","brewinandchewin:cooking/glow_berry_marmalade","","farmersdelight:cooking","Brewin' and Chewin'","T2","设备或复杂度：type=farmersdelight:cooking;kinds=3","","",""
"Ham and Cheese Sandwich","brewinandchewin:ham_and_cheese_sandwich","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","9","18","","1","0","brewinandchewin:ham_and_cheese_sandwich","","minecraft:crafting_shapeless","Brewin' and Chewin'","T2","正餐/甜点名称","","",""
"Heating Cask","brewinandchewin:heating_cask","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","brewinandchewin:heating_cask","","minecraft:crafting_shaped","Brewin' and Chewin'","不进入厨师","内容类型=NON_FOOD","","",""
"Horror Lasagna","brewinandchewin:horror_lasagna","DISH","dish_token;edible=true;type=farmersdelight:cooking","HIGH","是","16","17.6","effect.farmersdelight.nourishment 6000tick 1级 概率1","1","0","brewinandchewin:cooking/horror_lasagna","","farmersdelight:cooking","Brewin' and Chewin'","T2","设备或复杂度：type=farmersdelight:cooking;kinds=6","","",""
"Ice Crate","brewinandchewin:ice_crate","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","brewinandchewin:ice_crate","","minecraft:crafting_shaped","Brewin' and Chewin'","不进入厨师","内容类型=NON_FOOD","","",""
"Jerky","brewinandchewin:jerky","DRINK","recipe_type=brewinandchewin:fermenting","HIGH","是","3","4.2","","1","0","brewinandchewin:fermenting/jerky","","brewinandchewin:fermenting","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Keg","brewinandchewin:keg","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","brewinandchewin:keg","","minecraft:crafting_shaped","Brewin' and Chewin'","不进入厨师","内容类型=NON_FOOD","","",""
"Kimchi","brewinandchewin:kimchi","DRINK","recipe_type=brewinandchewin:fermenting","HIGH","是","2","2.4","","1","0","brewinandchewin:fermenting/kimchi","","brewinandchewin:fermenting","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Kippers","brewinandchewin:kippers","DRINK","recipe_type=brewinandchewin:fermenting","HIGH","是","6","6","","1","0","brewinandchewin:fermenting/kippers","","brewinandchewin:fermenting","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Kombucha","brewinandchewin:kombucha","DRINK","recipe_type=brewinandchewin:keg_pouring","HIGH","是","0","0","effect.brewinandchewin.tipsy 2400tick 1级 概率1；effect.brewinandchewin.intoxication 1800tick 1级 概率1；effect.minecraft.haste 1200tick 2级 概率1","1","1","brewinandchewin:pouring/kombucha","brewinandchewin:fermenting/kombucha","brewinandchewin:keg_pouring","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Mead","brewinandchewin:mead","DRINK","recipe_type=brewinandchewin:fermenting","HIGH","是","0","0","effect.brewinandchewin.tipsy 2400tick 1级 概率1；effect.brewinandchewin.intoxication 1800tick 1级 概率1；effect.brewinandchewin.sweet_heart 2400tick 1级 概率1","2","0","brewinandchewin:fermenting/mead_from_honey | brewinandchewin:pouring/mead","","brewinandchewin:fermenting | brewinandchewin:keg_pouring","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Pale Jane","brewinandchewin:pale_jane","DRINK","recipe_type=brewinandchewin:fermenting","HIGH","是","0","0","effect.brewinandchewin.tipsy 3600tick 1级 概率1；effect.brewinandchewin.intoxication 3000tick 1级 概率1；effect.farmersdelight.nourishment 2400tick 1级 概率1","2","0","brewinandchewin:fermenting/pale_jane_from_rice_wine | brewinandchewin:pouring/pale_jane","","brewinandchewin:fermenting | brewinandchewin:keg_pouring","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Pickled Pickles","brewinandchewin:pickled_pickles","DRINK","recipe_type=brewinandchewin:fermenting","HIGH","是","4","2.4","","1","0","brewinandchewin:fermenting/pickled_pickles_from_honey","","brewinandchewin:fermenting","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Pizza","brewinandchewin:pizza","SERVING_DISH","manual_override;PizzaBlock.SERVINGS+useWithoutItem；无FOOD","HIGH","否","","","","2","0","brewinandchewin:pizza | brewinandchewin:pizza_from_slices","","minecraft:crafting_shaped","Brewin' and Chewin'","不进入厨师","PizzaBlock.SERVINGS+useWithoutItem；无FOOD","","","javap:PizzaBlock"
"Pizza Slice","brewinandchewin:pizza_slice","DISH","dish_token;edible=true;type=farmersdelight:cutting","HIGH","是","5","10","","1","0","brewinandchewin:cutting/pizza","","farmersdelight:cutting","Brewin' and Chewin'","T2","正餐/甜点名称","","",""
