模组,配方ID,产物,数量,机器,原料,附加参数,饥饿值,饱和度,效果(buff),UNITE状态,备注
万花筒烹饪,pot/raw_cut_small_meats_to_cooked_cut_small_meats_4.json,熟切制小肉(kaleidoscope_cookery:cooked_cut_small_meats),4,炒锅(置于炉灶上),生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cut_small_meats_to_cooked_cut_small_meats_5.json,熟切制小肉(kaleidoscope_cookery:cooked_cut_small_meats),5,炒锅(置于炉灶上),生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cut_small_meats_to_cooked_cut_small_meats_6.json,熟切制小肉(kaleidoscope_cookery:cooked_cut_small_meats),6,炒锅(置于炉灶上),生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cut_small_meats_to_cooked_cut_small_meats_7.json,熟切制小肉(kaleidoscope_cookery:cooked_cut_small_meats),7,炒锅(置于炉灶上),生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cut_small_meats_to_cooked_cut_small_meats_8.json,熟切制小肉(kaleidoscope_cookery:cooked_cut_small_meats),8,炒锅(置于炉灶上),生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cut_small_meats_to_cooked_cut_small_meats_9.json,熟切制小肉(kaleidoscope_cookery:cooked_cut_small_meats),9,炒锅(置于炉灶上),生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),,4,6.4,,原始(统一基准),
农夫乐事(万花筒机器),pot/add/cooked_bacon.json,熟培根(farmersdelight:cooked_bacon),1,炒锅(置于炉灶上),生培根(farmersdelight:bacon),,4,6.4,,新增(万花筒机器),用万花筒机器制作农夫乐事菜品
万花筒烹饪,pot/raw_cow_offal_to_cooked_cow_offal_1.json,熟牛杂(kaleidoscope_cookery:cooked_cow_offal),1,炒锅(置于炉灶上),生牛杂(kaleidoscope_cookery:raw_cow_offal),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cow_offal_to_cooked_cow_offal_2.json,熟牛杂(kaleidoscope_cookery:cooked_cow_offal),2,炒锅(置于炉灶上),生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cow_offal_to_cooked_cow_offal_3.json,熟牛杂(kaleidoscope_cookery:cooked_cow_offal),3,炒锅(置于炉灶上),生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cow_offal_to_cooked_cow_offal_4.json,熟牛杂(kaleidoscope_cookery:cooked_cow_offal),4,炒锅(置于炉灶上),生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cow_offal_to_cooked_cow_offal_5.json,熟牛杂(kaleidoscope_cookery:cooked_cow_offal),5,炒锅(置于炉灶上),生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cow_offal_to_cooked_cow_offal_6.json,熟牛杂(kaleidoscope_cookery:cooked_cow_offal),6,炒锅(置于炉灶上),生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cow_offal_to_cooked_cow_offal_7.json,熟牛杂(kaleidoscope_cookery:cooked_cow_offal),7,炒锅(置于炉灶上),生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cow_offal_to_cooked_cow_offal_8.json,熟牛杂(kaleidoscope_cookery:cooked_cow_offal),8,炒锅(置于炉灶上),生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/raw_cow_offal_to_cooked_cow_offal_9.json,熟牛杂(kaleidoscope_cookery:cooked_cow_offal),9,炒锅(置于炉灶上),生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal) + 生牛杂(kaleidoscope_cookery:raw_cow_offal),,4,6.4,,原始(统一基准),
万花筒烹饪,pot/porkchop_to_cooked_porkchop_1.json,熟猪排(minecraft:cooked_porkchop),1,炒锅(置于炉灶上),生猪排(minecraft:porkchop),,,,,原始(统一基准),
万花筒烹饪,pot/porkchop_to_cooked_porkchop_2.json,熟猪排(minecraft:cooked_porkchop),2,炒锅(置于炉灶上),生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop),,,,,原始(统一基准),
万花筒烹饪,pot/porkchop_to_cooked_porkchop_3.json,熟猪排(minecraft:cooked_porkchop),3,炒锅(置于炉灶上),生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop),,,,,原始(统一基准),
万花筒烹饪,pot/porkchop_to_cooked_porkchop_4.json,熟猪排(minecraft:cooked_porkchop),4,炒锅(置于炉灶上),生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop),,,,,原始(统一基准),
万花筒烹饪,pot/porkchop_to_cooked_porkchop_5.json,熟猪排(minecraft:cooked_porkchop),5,炒锅(置于炉灶上),生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop),,,,,原始(统一基准),
万花筒烹饪,pot/porkchop_to_cooked_porkchop_6.json,熟猪排(minecraft:cooked_porkchop),6,炒锅(置于炉灶上),生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop),,,,,原始(统一基准),
万花筒烹饪,pot/porkchop_to_cooked_porkchop_7.json,熟猪排(minecraft:cooked_porkchop),7,炒锅(置于炉灶上),生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop),,,,,原始(统一基准),
万花筒烹饪,pot/porkchop_to_cooked_porkchop_8.json,熟猪排(minecraft:cooked_porkchop),8,炒锅(置于炉灶上),生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop),,,,,原始(统一基准),
万花筒烹饪,pot/porkchop_to_cooked_porkchop_9.json,熟猪排(minecraft:cooked_porkchop),9,炒锅(置于炉灶上),生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop) + 生猪排(minecraft:porkchop),,,,,原始(统一基准),
万花筒烹饪,pot/raw_lamb_chops_to_cooked_lamb_chops_1.json,熟羊排(kaleidoscope_cookery:cooked_lamb_chops),1,炒锅(置于炉灶上),生羊排(kaleidoscope_cookery:raw_lamb_chops),,3,4.8,,原始(统一基准),
万花筒烹饪,pot/raw_lamb_chops_to_cooked_lamb_chops_2.json,熟羊排(kaleidoscope_cookery:cooked_lamb_chops),2,炒锅(置于炉灶上),生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops),,3,4.8,,原始(统一基准),
万花筒烹饪,pot/raw_lamb_chops_to_cooked_lamb_chops_3.json,熟羊排(kaleidoscope_cookery:cooked_lamb_chops),3,炒锅(置于炉灶上),生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops),,3,4.8,,原始(统一基准),
万花筒烹饪,pot/raw_lamb_chops_to_cooked_lamb_chops_4.json,熟羊排(kaleidoscope_cookery:cooked_lamb_chops),4,炒锅(置于炉灶上),生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops),,3,4.8,,原始(统一基准),
万花筒烹饪,pot/raw_lamb_chops_to_cooked_lamb_chops_5.json,熟羊排(kaleidoscope_cookery:cooked_lamb_chops),5,炒锅(置于炉灶上),生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops),,3,4.8,,原始(统一基准),
万花筒烹饪,pot/raw_lamb_chops_to_cooked_lamb_chops_6.json,熟羊排(kaleidoscope_cookery:cooked_lamb_chops),6,炒锅(置于炉灶上),生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops),,3,4.8,,原始(统一基准),
万花筒烹饪,pot/raw_lamb_chops_to_cooked_lamb_chops_7.json,熟羊排(kaleidoscope_cookery:cooked_lamb_chops),7,炒锅(置于炉灶上),生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops),,3,4.8,,原始(统一基准),
万花筒烹饪,pot/raw_lamb_chops_to_cooked_lamb_chops_8.json,熟羊排(kaleidoscope_cookery:cooked_lamb_chops),8,炒锅(置于炉灶上),生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops),,3,4.8,,原始(统一基准),
万花筒烹饪,pot/raw_lamb_chops_to_cooked_lamb_chops_9.json,熟羊排(kaleidoscope_cookery:cooked_lamb_chops),9,炒锅(置于炉灶上),生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops) + 生羊排(kaleidoscope_cookery:raw_lamb_chops),,3,4.8,,原始(统一基准),
万花筒烹饪,pot/mutton_to_cooked_mutton_1.json,熟羊肉(minecraft:cooked_mutton),1,炒锅(置于炉灶上),生羊肉(minecraft:mutton),,,,,原始(统一基准),
万花筒烹饪,pot/mutton_to_cooked_mutton_2.json,熟羊肉(minecraft:cooked_mutton),2,炒锅(置于炉灶上),生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton),,,,,原始(统一基准),
万花筒烹饪,pot/mutton_to_cooked_mutton_3.json,熟羊肉(minecraft:cooked_mutton),3,炒锅(置于炉灶上),生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton),,,,,原始(统一基准),
万花筒烹饪,pot/mutton_to_cooked_mutton_4.json,熟羊肉(minecraft:cooked_mutton),4,炒锅(置于炉灶上),生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton),,,,,原始(统一基准),
万花筒烹饪,pot/mutton_to_cooked_mutton_5.json,熟羊肉(minecraft:cooked_mutton),5,炒锅(置于炉灶上),生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton),,,,,原始(统一基准),
万花筒烹饪,pot/mutton_to_cooked_mutton_6.json,熟羊肉(minecraft:cooked_mutton),6,炒锅(置于炉灶上),生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton),,,,,原始(统一基准),
万花筒烹饪,pot/mutton_to_cooked_mutton_7.json,熟羊肉(minecraft:cooked_mutton),7,炒锅(置于炉灶上),生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton),,,,,原始(统一基准),
万花筒烹饪,pot/mutton_to_cooked_mutton_8.json,熟羊肉(minecraft:cooked_mutton),8,炒锅(置于炉灶上),生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton),,,,,原始(统一基准),
万花筒烹饪,pot/mutton_to_cooked_mutton_9.json,熟羊肉(minecraft:cooked_mutton),9,炒锅(置于炉灶上),生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton) + 生羊肉(minecraft:mutton),,,,,原始(统一基准),
万花筒烹饪,pot/salmon_to_cooked_salmon_1.json,熟鲑鱼(minecraft:cooked_salmon),1,炒锅(置于炉灶上),生鲑鱼(minecraft:salmon),,,,,原始(统一基准),
万花筒烹饪,pot/salmon_to_cooked_salmon_2.json,熟鲑鱼(minecraft:cooked_salmon),2,炒锅(置于炉灶上),生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon),,,,,原始(统一基准),
万花筒烹饪,pot/salmon_to_cooked_salmon_3.json,熟鲑鱼(minecraft:cooked_salmon),3,炒锅(置于炉灶上),生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon),,,,,原始(统一基准),
万花筒烹饪,pot/salmon_to_cooked_salmon_4.json,熟鲑鱼(minecraft:cooked_salmon),4,炒锅(置于炉灶上),生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon),,,,,原始(统一基准),
万花筒烹饪,pot/salmon_to_cooked_salmon_5.json,熟鲑鱼(minecraft:cooked_salmon),5,炒锅(置于炉灶上),生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon),,,,,原始(统一基准),
万花筒烹饪,pot/salmon_to_cooked_salmon_6.json,熟鲑鱼(minecraft:cooked_salmon),6,炒锅(置于炉灶上),生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon),,,,,原始(统一基准),
万花筒烹饪,pot/salmon_to_cooked_salmon_7.json,熟鲑鱼(minecraft:cooked_salmon),7,炒锅(置于炉灶上),生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon),,,,,原始(统一基准),
万花筒烹饪,pot/salmon_to_cooked_salmon_8.json,熟鲑鱼(minecraft:cooked_salmon),8,炒锅(置于炉灶上),生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon),,,,,原始(统一基准),
万花筒烹饪,pot/salmon_to_cooked_salmon_9.json,熟鲑鱼(minecraft:cooked_salmon),9,炒锅(置于炉灶上),生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon) + 生鲑鱼(minecraft:salmon),,,,,原始(统一基准),
农夫乐事(万花筒机器),pot/add/cooked_salmon_slice.json,熟鲑鱼片(farmersdelight:cooked_salmon_slice),1,炒锅(置于炉灶上),生鲑鱼片(farmersdelight:salmon_slice),,3,4.8,,新增(万花筒机器),用万花筒机器制作农夫乐事菜品
万花筒烹饪,pot/cod_to_cooked_cod_1.json,熟鳕鱼(minecraft:cooked_cod),1,炒锅(置于炉灶上),生鳕鱼(minecraft:cod),,,,,原始(统一基准),
万花筒烹饪,pot/cod_to_cooked_cod_2.json,熟鳕鱼(minecraft:cooked_cod),2,炒锅(置于炉灶上),生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod),,,,,原始(统一基准),
万花筒烹饪,pot/cod_to_cooked_cod_3.json,熟鳕鱼(minecraft:cooked_cod),3,炒锅(置于炉灶上),生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod),,,,,原始(统一基准),
万花筒烹饪,pot/cod_to_cooked_cod_4.json,熟鳕鱼(minecraft:cooked_cod),4,炒锅(置于炉灶上),生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod),,,,,原始(统一基准),
万花筒烹饪,pot/cod_to_cooked_cod_5.json,熟鳕鱼(minecraft:cooked_cod),5,炒锅(置于炉灶上),生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod),,,,,原始(统一基准),
万花筒烹饪,pot/cod_to_cooked_cod_6.json,熟鳕鱼(minecraft:cooked_cod),6,炒锅(置于炉灶上),生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod),,,,,原始(统一基准),
万花筒烹饪,pot/cod_to_cooked_cod_7.json,熟鳕鱼(minecraft:cooked_cod),7,炒锅(置于炉灶上),生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod),,,,,原始(统一基准),
